, Rewards, QoS violation,,
Episode: 112 ,-18,0.01549, Action type: [1, 0] 
Episode: 113 ,-17,0.01546, Action type: [2, 1] 
Episode: 114 ,-18,0.01549, Action type: [2, 1] 
Episode: 115 ,-19,0.01556, Action type: [0 1] ,
Episode: 116 ,-20,0.01565, Action type: [2, 1] 
Episode: 117 ,-21,0.01569, Action type: [2, 1] 
Episode: 118 ,-22,0.01573, Action type: [1, 2] 
Episode: 119 ,-21,0.01569, Action type: [0 0] ,
Episode: 120 ,-22,0.01569, Action type: [1, 2] 
Episode: 121 ,-21,0.01565, Action type: [1, 2] 
Episode: 122 ,-20,0.01558, Action type: [1, 2] 
Episode: 123 ,-19,0.01549, Action type: [2, 1] 
Episode: 124 ,-20,0.01558, Action type: [2, 1] 
Episode: 125 ,-21,0.01565, Action type: [2, 1] 
Episode: 126 ,-22,0.01569, Action type: [2, 1] 
Episode: 127 ,-23,0.01573, Action type: [2, 1] 
Episode: 128 ,-24,0.01574, Action type: [2, 1] 
Episode: 129 ,-25,0.01575, Action type: [1, 2] 
Episode: 130 ,-24,0.01574, Action type: [1, 2] 
Episode: 131 ,-23,0.01573, Action type: [1, 2] 
Episode: 132 ,-22,0.01569, Action type: [1, 2] 
Episode: 133 ,-21,0.01565, Action type: [1, 2] 
Episode: 134 ,-20,0.01558, Action type: [2, 0] 
Episode: 135 ,-19,0.01556, Action type: [2 1] ,
Episode: 136 ,-20,0.01565, Action type: [0 0] ,
Episode: 137 ,-21,0.01565, Action type: [2, 0] 
Episode: 138 ,-22,0.01565, Action type: [2, 1] 
Episode: 139 ,-23,0.01567, Action type: [0, 2] 
Episode: 140 ,-24,0.01569, Action type: [0, 2] 
Episode: 141 ,-25,0.01569, Action type: [0, 2] 
Episode: 142 ,-26,0.01569, Action type: [0, 2] 
Episode: 143 ,-27,0.01571, Action type: [1, 2] 
Episode: 144 ,-26,0.01567, Action type: [2 0] ,
Episode: 145 ,-27,0.01567, Action type: [2, 0] 
Episode: 146 ,-26,0.01565, Action type: [2, 1] 
Episode: 147 ,-27,0.01569, Action type: [2, 1] 
Episode: 148 ,-28,0.01573, Action type: [0, 1] 
Episode: 149 ,-29,0.01576, Action type: [2 0] ,
Episode: 150 ,-28,0.01574, Action type: [0, 2] 
Episode: 151 ,-29,0.01576, Action type: [1, 2] 
Episode: 152 ,-28,0.01573, Action type: [1, 0] 
Episode: 153 ,-27,0.01569, Action type: [1, 0] 
