Episode: 1 , Rewards: 0.98431 , QoS violation: 0.01569 , Action type: 1 
Episode: 2 , Rewards: 0.9686 , QoS violation: 0.01571 , Action type: 1 
Episode: 3 , Rewards: 1.95289 , QoS violation: 0.01571 , Action type: 1 
Episode: 4 , Rewards: 2.93718 , QoS violation: 0.01571 , Action type: 1 
Episode: 1 , Rewards: 0.98431 , QoS violation: 0.01569 , Action type: 2 
Episode: 2 , Rewards: 1.9686400000000002 , QoS violation: 0.01567 , Action type: 2 
Episode: 3 , Rewards: 2.95304 , QoS violation: 0.0156 , Action type: 2 
Episode: 4 , Rewards: 3.93755 , QoS violation: 0.01549 , Action type: 2 
Episode: 5 , Rewards: 4.92208 , QoS violation: 0.01547 , Action type: 2 
Episode: 6 , Rewards: 5.90664 , QoS violation: 0.01544 , Action type: 0 
Episode: 7 , Rewards: 5.891170000000001 , QoS violation: 0.01547 , Action type: 2 
Episode: 8 , Rewards: 6.875730000000001 , QoS violation: 0.01544 , Action type: 2 
Episode: 9 , Rewards: 7.8603000000000005 , QoS violation: 0.01543 , Action type: 1 
Episode: 10 , Rewards: 7.844860000000001 , QoS violation: 0.01544 , Action type: 2 
Episode: 11 , Rewards: 8.82948 , QoS violation: 0.01538 , Action type: 2 
Episode: 12 , Rewards: 9.81414 , QoS violation: 0.01534 , Action type: 2 
Episode: 13 , Rewards: 10.79885 , QoS violation: 0.01529 , Action type: 0 
Episode: 14 , Rewards: 10.78349 , QoS violation: 0.01536 , Action type: 0 
Episode: 15 , Rewards: 10.768080000000001 , QoS violation: 0.01541 , Action type: 0 
Episode: 16 , Rewards: 10.75261 , QoS violation: 0.01547 , Action type: 0 
Episode: 17 , Rewards: 10.73712 , QoS violation: 0.01549 , Action type: 0 
Episode: 18 , Rewards: 10.72159 , QoS violation: 0.01553 , Action type: 0 
Episode: 19 , Rewards: 10.70603 , QoS violation: 0.01556 , Action type: 0 
Episode: 20 , Rewards: 10.69036 , QoS violation: 0.01567 , Action type: 0 
Episode: 21 , Rewards: 10.67462 , QoS violation: 0.01574 , Action type: 0 
Episode: 22 , Rewards: 10.658840000000001 , QoS violation: 0.01578 , Action type: 3 
Episode: 23 , Rewards: 10.643040000000001 , QoS violation: 0.0158 , Action type: 3 
Episode: 24 , Rewards: 10.627210000000002 , QoS violation: 0.01583 , Action type: 3 
Episode: 25 , Rewards: 10.611350000000002 , QoS violation: 0.01586 , Action type: 3 
Episode: 26 , Rewards: 10.595470000000002 , QoS violation: 0.01588 , Action type: 0 
Episode: 27 , Rewards: 10.579500000000003 , QoS violation: 0.01597 , Action type: 3 
Episode: 28 , Rewards: 10.563490000000003 , QoS violation: 0.01601 , Action type: 1 
Episode: 29 , Rewards: 11.547480000000004 , QoS violation: 0.01601 , Action type: 1 
Episode: 30 , Rewards: 11.531450000000003 , QoS violation: 0.01603 , Action type: 1 
Episode: 31 , Rewards: 12.515420000000002 , QoS violation: 0.01603 , Action type: 1 
Episode: 32 , Rewards: 12.499380000000002 , QoS violation: 0.01604 , Action type: 1 
Episode: 33 , Rewards: 12.483320000000003 , QoS violation: 0.01606 , Action type: 1 
Episode: 34 , Rewards: 12.467220000000003 , QoS violation: 0.0161 , Action type: 1 
Episode: 35 , Rewards: 12.451110000000003 , QoS violation: 0.01611 , Action type: 1 
Episode: 36 , Rewards: 13.435000000000004 , QoS violation: 0.01611 , Action type: 1 
Episode: 37 , Rewards: 13.418880000000003 , QoS violation: 0.01612 , Action type: 2 
Episode: 38 , Rewards: 14.402800000000003 , QoS violation: 0.01608 , Action type: 1 
Episode: 39 , Rewards: 14.386710000000003 , QoS violation: 0.01609 , Action type: 2 
Episode: 40 , Rewards: 15.370710000000003 , QoS violation: 0.016 , Action type: 2 
Episode: 41 , Rewards: 16.354750000000003 , QoS violation: 0.01596 , Action type: 2 
Episode: 42 , Rewards: 17.338820000000002 , QoS violation: 0.01593 , Action type: 2 
Episode: 43 , Rewards: 18.32291 , QoS violation: 0.01591 , Action type: 2 
Episode: 44 , Rewards: 19.30704 , QoS violation: 0.01587 , Action type: 0 
Episode: 45 , Rewards: 19.29113 , QoS violation: 0.01591 , Action type: 0 
Episode: 46 , Rewards: 19.27519 , QoS violation: 0.01594 , Action type: 0 
Episode: 47 , Rewards: 19.25921 , QoS violation: 0.01598 , Action type: 0 
