, Rewards,QoS violation,,
Episode: 103 ,52.31749,0.0161, Action type: [0, 2] 
Episode: 104 ,52.30138,0.01611, Action type: [0, 2] 
Episode: 105 ,52.28526,0.01612, Action type: [0, 2] 
Episode: 106 ,52.26911,0.01615, Action type: [0, 2] 
Episode: 107 ,52.25295,0.01616, Action type: [0, 2] 
Episode: 108 ,53.23679,0.01616, Action type: [0, 2] 
Episode: 109 ,53.22062,0.01617, Action type: [0 2] ,
Episode: 110 ,53.20444,0.01618, Action type: [0, 2] 
Episode: 111 ,54.18826,0.01618, Action type: [2 1] ,
Episode: 112 ,54.17204,0.01622, Action type: [0, 1] 
Episode: 113 ,54.15574,0.0163, Action type: [0, 1] 
Episode: 114 ,54.1394,0.01634, Action type: [0, 1] 
Episode: 115 ,54.123,0.0164, Action type: [2, 0] 
Episode: 116 ,55.10661,0.01639, Action type: [2, 0] 
Episode: 117 ,56.09023,0.01638, Action type: [2, 0] 
Episode: 118 ,57.07385,0.01638, Action type: [2, 0] 
Episode: 119 ,58.05748,0.01637, Action type: [2, 0] 
Episode: 120 ,59.04115,0.01633, Action type: [1, 0] 
Episode: 121 ,60.02488,0.01627, Action type: [1, 0] 
Episode: 122 ,61.00865,0.01623, Action type: [1, 0] 
Episode: 123 ,61.9925,0.01615, Action type: [1, 0] 
Episode: 124 ,62.97639,0.01611, Action type: [1, 0] 
Episode: 125 ,63.96032,0.01607, Action type: [1, 2] 
Episode: 126 ,63.94424,0.01608, Action type: [2 2] ,
Episode: 127 ,64.92816,0.01608, Action type: [0, 2] 
Episode: 128 ,64.91207,0.01609, Action type: [0, 2] 
Episode: 129 ,65.89598,0.01609, Action type: [0, 2] 
Episode: 130 ,65.87988,0.0161, Action type: [0, 2] 
Episode: 131 ,65.86377,0.01611, Action type: [0, 2] 
Episode: 132 ,66.84766,0.01611, Action type: [0, 2] 
Episode: 133 ,67.83155,0.01611, Action type: [0, 1] 
Episode: 134 ,67.81541,0.01614, Action type: [2 2] ,
Episode: 135 ,68.79927,0.01614, Action type: [0, 2] 
Episode: 136 ,68.78312,0.01615, Action type: [1, 0] 
Episode: 137 ,69.767,0.01612, Action type: [1, 0] 
Episode: 138 ,70.75095,0.01605, Action type: [2 0] ,
Episode: 139 ,71.73491,0.01604, Action type: [1, 0] 
Episode: 140 ,72.71892,0.01599, Action type: [1, 0] 
Episode: 141 ,73.70297,0.01595, Action type: [1, 0] 
Episode: 142 ,74.68711,0.01586, Action type: [1, 0] 
Episode: 143 ,75.67129,0.01582, Action type: [1, 0] 
Episode: 144 ,76.65551,0.01578, Action type: [1, 0] 
Episode: 145 ,77.63976,0.01575, Action type: [1, 2] 
Episode: 146 ,78.62404,0.01572, Action type: [0, 2] 
Episode: 147 ,78.60831,0.01573, Action type: [0 2] ,
Episode: 148 ,79.59258,0.01573, Action type: [0, 1] 
Episode: 149 ,79.57681,0.01577, Action type: [0, 1] 
Episode: 150 ,79.56101,0.0158, Action type: [0, 1] 
Episode: 151 ,79.54517,0.01584, Action type: [2, 1] 
Episode: 152 ,79.52929,0.01588, Action type: [1 1] ,
Episode: 153 ,80.51341,0.01588, Action type: [2, 1] 
Episode: 154 ,80.49745,0.01596, Action type: [2, 1] 
Episode: 155 ,80.48146,0.01599, Action type: [2, 0] 
Episode: 156 ,81.46547,0.01599, Action type: [2, 0] 
Episode: 157 ,82.44948,0.01599, Action type: [2, 0] 
Episode: 158 ,83.4335,0.01598, Action type: [2, 0] 
Episode: 159 ,84.41753,0.01597, Action type: [2, 0] 
Episode: 160 ,85.40156,0.01597, Action type: [2, 0] 
Episode: 161 ,86.3856,0.01596, Action type: [2, 0] 
Episode: 162 ,87.36968,0.01592, Action type: [0 1] ,
Episode: 163 ,87.35371,0.01597, Action type: [2, 1] 
Episode: 164 ,87.33768,0.01603, Action type: [2, 1] 
Episode: 165 ,87.32163,0.01605, Action type: [2, 1] 
Episode: 166 ,87.30554,0.01609, Action type: [2 1] ,
Episode: 167 ,87.28942,0.01612, Action type: [1, 2] 
Episode: 168 ,88.27333,0.01609, Action type: [1, 2] 
Episode: 169 ,89.25728,0.01605, Action type: [1, 2] 
Episode: 170 ,90.24125,0.01603, Action type: [1, 2] 
