Episode, Rewards, QoS violation, Action type
228,132.30089,0.01546,1
229,133.28543,0.01546,2
230,134.27,0.01543,1
231,134.25456,0.01544,1
232,135.23912,0.01544,1
233,135.22367,0.01545,1
234,135.20821,0.01546,4
235,136.19278,0.01543,4
236,137.1774,0.01538,4
237,138.16207,0.01533,4
238,139.14681,0.01526,4
239,140.13161,0.0152,4
240,141.11646,0.01515,0
241,141.10126,0.0152,0
242,141.08601,0.01525,0
243,141.07068,0.01533,0
244,141.0553,0.01538,1
245,141.03991,0.01539,1
246,141.02451,0.0154,1
247,141.00909,0.01542,1
248,140.99364,0.01545,4
249,141.97824,0.0154,4
250,142.96292,0.01532,4
251,143.94765,0.01527,4
252,144.93244,0.01521,1
253,144.91722,0.01522,1
254,145.902,0.01522,0
255,145.88672,0.01528,0
256,145.87139,0.01533,0
257,145.85598,0.01541,1
258,145.84056,0.01542,1
259,146.82514,0.01542,1
260,146.80971,0.01543,1
261,147.79428,0.01543,1
262,148.77885,0.01543,4
263,149.7635,0.01535,4
264,150.7482,0.0153,4
265,151.73296,0.01524,0
266,151.71766,0.0153,0
267,151.70231,0.01535,0
268,151.68688,0.01543,0
269,151.6714,0.01548,0
270,151.65588,0.01552,0
271,151.64032,0.01556,0
272,151.62472,0.0156,0
273,151.60909,0.01563,0
274,151.59337,0.01572,4
275,152.57774,0.01563,4
276,153.56214,0.0156,4
277,154.54658,0.01556,4
278,155.53106,0.01552,4
279,156.51558,0.01548,4
280,157.50015,0.01543,3
281,157.48467,0.01548,1
282,158.46919,0.01548,1
283,158.4537,0.01549,1
284,158.4382,0.0155,3
285,158.42267,0.01553,4
286,159.40718,0.01549,4
287,160.39174,0.01544,2
288,161.37637,0.01537,0
289,161.36092,0.01545,4
290,162.34555,0.01537,4
291,163.33023,0.01532,0
292,163.31486,0.01537,0
293,163.29941,0.01545,0
294,163.28391,0.0155,0
295,163.26838,0.01553,1
296,164.25285,0.01553,1
297,164.2373,0.01555,4
298,165.22178,0.01552,4
299,166.20631,0.01547,5
300,167.19086,0.01545,4
301,168.17549,0.01537,0
302,168.16004,0.01545,0
303,168.14454,0.0155,0
304,168.12901,0.01553,0
305,168.11344,0.01557,4
306,169.09791,0.01553,3
307,169.08234,0.01557,3
308,169.06673,0.01561,3
309,169.0511,0.01563,4
310,170.0355,0.0156,2
311,171.01994,0.01556,4
312,172.00442,0.01552,1
313,171.98889,0.01553,1
314,172.97336,0.01553,1
315,172.95781,0.01555,0
316,172.94222,0.01559,0
317,172.92659,0.01563,0
318,172.91092,0.01567,0
319,172.89516,0.01576,0
320,172.87931,0.01585,0
321,172.86342,0.01589,4
322,173.84757,0.01585,3
323,173.8317,0.01587,4
324,174.81587,0.01583,4
325,175.80013,0.01574,3
326,175.7843,0.01583,5
327,176.76848,0.01582,3
328,176.75263,0.01585,1
329,176.73677,0.01586,4
330,177.72095,0.01582,4
331,178.70522,0.01573,4
332,179.68958,0.01564,4
333,180.67398,0.0156,1
334,180.65837,0.01561,1
335,181.64276,0.01561,0
336,181.62711,0.01565,0
337,181.61137,0.01574,0
338,181.59554,0.01583,2
339,182.57978,0.01576,4
340,183.56411,0.01567,4
341,184.54848,0.01563,4
342,185.53289,0.01559,4
343,186.51734,0.01555,1
344,186.50177,0.01557,4
345,187.48623,0.01554,2
346,188.47074,0.01549,1
347,188.45522,0.01552,1
348,189.4397,0.01552,1
349,190.42418,0.01552,4
350,191.40873,0.01545,4
351,192.39333,0.0154,4
352,193.37799,0.01534,4
353,194.3627,0.01529,4
354,195.34744,0.01526,0
355,195.33215,0.01529,0
356,195.31681,0.01534,1
357,196.30147,0.01534,1
358,196.28612,0.01535,1
359,197.27077,0.01535,4
360,198.25547,0.0153,4
361,199.2402,0.01527,4
362,200.22498,0.01522,4
363,201.2098,0.01518,4
364,202.19467,0.01513,4
365,203.17956,0.01511,0
366,203.16443,0.01513,0
367,203.14925,0.01518,5
368,204.13407,0.01518,0
369,204.11885,0.01522,1
370,205.10363,0.01522,1
371,205.0884,0.01523,4
372,206.07321,0.01519,4
373,207.05807,0.01514,4
374,208.04295,0.01512,2
375,209.02785,0.0151,1
376,210.01275,0.0151,0
377,209.99762,0.01513,5
378,210.98249,0.01513,0
379,210.96734,0.01515,0
380,210.95214,0.0152,0
381,210.9369,0.01524,0
382,210.92162,0.01528,1
383,211.90634,0.01528,1
384,212.89106,0.01528,1
385,212.87576,0.0153,1
386,213.86046,0.0153,1
387,214.84516,0.0153,1
388,214.82984,0.01532,4
389,215.81456,0.01528,4
390,216.79932,0.01524,4
391,217.78413,0.01519,4
392,218.76896,0.01517,0
393,218.75377,0.01519,0
394,218.73853,0.01524,0
395,218.72325,0.01528,0
396,218.70793,0.01532,1
397,219.69261,0.01532,1
398,219.67728,0.01533,1
399,219.66194,0.01534,1
400,219.64659,0.01535,4
401,220.63128,0.01531,4
402,221.61601,0.01527,1
403,221.60072,0.01529,0
404,221.58539,0.01533,3
405,221.57004,0.01535,3
406,221.55466,0.01538,4
407,222.53932,0.01534,4
408,223.52402,0.0153,0
409,223.50868,0.01534,4
410,224.49338,0.0153,1
411,224.47807,0.01531,2
412,225.46278,0.01529,0
413,225.44745,0.01533,0
414,225.43208,0.01537,0
415,225.41667,0.01541,4
416,226.4013,0.01537,4
417,227.38597,0.01533,4
418,228.37068,0.01529,4
419,229.35544,0.01524,1
420,230.3402,0.01524,4
421,231.32498,0.01522,1
422,232.30976,0.01522,4
423,233.29457,0.01519,4
424,234.27945,0.01512,1
425,234.26432,0.01513,2
426,235.24921,0.01511,2
427,236.23413,0.01508,0
428,236.21899,0.01514,0
429,236.20381,0.01518,0
430,236.18856,0.01525,0
431,236.17328,0.01528,4
432,237.15803,0.01525,4
433,238.14285,0.01518,4
434,239.12771,0.01514,0
435,239.11253,0.01518,1
436,240.09735,0.01518,0
437,240.0821,0.01525,1
438,240.06684,0.01526,0
439,240.05155,0.01529,4
440,241.03629,0.01526,4
441,242.0211,0.01519,0
442,242.00584,0.01526,0
443,241.99055,0.01529,0
444,241.97524,0.01531,0
445,241.95988,0.01536,3
446,241.94449,0.01539,4
447,242.92914,0.01535,4
448,243.91384,0.0153,4
449,244.89856,0.01528,4
450,245.88331,0.01525,1
451,245.86805,0.01526,0
452,245.85276,0.01529,0
453,245.83745,0.01531,0
454,245.82209,0.01536,0
455,245.80669,0.0154,2
456,246.79131,0.01538,4
457,247.77598,0.01533,4
458,248.76067,0.01531,4
459,249.74539,0.01528,0
460,249.73008,0.01531,4
461,250.7148,0.01528,0
462,250.69949,0.01531,0
463,250.68416,0.01533,1
464,250.66882,0.01534,1
465,250.65347,0.01535,1
466,251.63812,0.01535,1
467,251.62275,0.01537,2
468,252.60738,0.01537,2
469,253.59202,0.01536,5
470,254.57668,0.01534,4
471,255.56141,0.01527,0
472,255.54607,0.01534,0
473,255.5307,0.01537,0
474,255.51531,0.01539,4
475,256.49994,0.01537,1
476,256.48455,0.01539,1
477,257.46916,0.01539,1
478,258.45377,0.01539,1
479,258.43837,0.0154,1
480,258.42296,0.01541,0
481,258.40753,0.01543,5
482,259.39211,0.01542,0
483,259.37664,0.01547,0
484,259.36113,0.01551,3
485,259.34559,0.01554,4
486,260.33009,0.0155,1
487,260.31458,0.01551,1
488,260.29906,0.01552,1
489,260.28353,0.01553,1
490,261.268,0.01553,4
491,262.25251,0.01549,4
492,263.23707,0.01544,0
493,263.22158,0.01549,0
494,263.20605,0.01553,0
495,263.19048,0.01557,0
496,263.17487,0.01561,4
497,264.1593,0.01557,4
498,265.14377,0.01553,4
499,266.12828,0.01549,4
500,267.11284,0.01544,1
501,267.09739,0.01545,1
502,268.08194,0.01545,0
503,268.06644,0.0155,0
504,268.05091,0.01553,3
505,268.03533,0.01558,1
506,269.01975,0.01558,4
507,270.00422,0.01553,5
508,270.98869,0.01553,5
509,271.97317,0.01552,4
510,272.95768,0.01549,0
511,272.94216,0.01552,0
512,272.92659,0.01557,0
513,272.91098,0.01561,1
514,272.89536,0.01562,1
515,273.87974,0.01562,4
516,274.86416,0.01558,4
517,275.84863,0.01553,4
518,276.83313,0.0155,4
519,277.81768,0.01545,4
520,278.80225,0.01543,5
521,279.78682,0.01543,4
522,280.77142,0.0154,1
523,281.75602,0.0154,1
524,281.74059,0.01543,1
525,281.72515,0.01544,1
526,281.7097,0.01545,1
527,281.69423,0.01547,0
528,281.67873,0.0155,0
529,281.66321,0.01552,0
530,281.64764,0.01557,0
531,281.63204,0.0156,4
532,282.61647,0.01557,4
533,283.60095,0.01552,4
534,284.58545,0.0155,4
535,285.56998,0.01547,1
536,285.5545,0.01548,1
537,285.539,0.0155,1
538,285.52348,0.01552,1
539,286.50796,0.01552,4
540,287.49251,0.01545,4
541,288.47711,0.0154,4
542,289.46176,0.01535,3
543,289.44636,0.0154,0
544,289.43091,0.01545,2
545,290.41551,0.0154,3
546,290.40006,0.01545,4
547,291.38466,0.0154,4
548,292.36931,0.01535,4
549,293.35403,0.01528,4
550,294.33878,0.01525,0
551,294.3235,0.01528,0
552,294.30815,0.01535,5
553,295.29282,0.01533,4
554,296.27756,0.01526,4
555,297.26233,0.01523,4
556,298.24717,0.01516,4
557,299.23203,0.01514,4
558,300.21691,0.01512,1
559,300.20177,0.01514,0
560,300.18661,0.01516,0
561,300.17143,0.01518,0
562,300.15618,0.01525,4
563,301.141,0.01518,4
564,302.12584,0.01516,4
565,303.1107,0.01514,4
566,304.09563,0.01507,1
567,305.08056,0.01507,1
568,306.06549,0.01507,1
569,307.05042,0.01507,4
570,308.03543,0.01499,4
571,309.0205,0.01493,4
572,310.00561,0.01489,0
573,309.99069,0.01492,0
574,309.9757,0.01499,0
575,309.96063,0.01507,4
576,310.94564,0.01499,4
577,311.93072,0.01492,4
578,312.91583,0.01489,4
579,313.901,0.01483,1
580,313.88616,0.01484,0
581,313.87126,0.0149,0
582,313.85633,0.01493,0
583,313.84133,0.015,4
584,314.8264,0.01493,4
585,315.8115,0.0149,4
586,316.79666,0.01484,4
587,317.78183,0.01483,2
588,318.76704,0.01479,0
589,318.75219,0.01485,0
590,318.73733,0.01486,4
591,319.72248,0.01485,4
592,320.70769,0.01479,4
593,321.69292,0.01477,4
594,322.67817,0.01475,4
595,323.66345,0.01472,0
596,323.6487,0.01475,0
597,323.63393,0.01477,4
598,324.61918,0.01475,4
599,325.60446,0.01472,4
600,326.5898,0.01466,1
601,327.57514,0.01466,1
602,328.56048,0.01466,0
603,328.54576,0.01472,0
604,328.53101,0.01475,0
605,328.51624,0.01477,4
606,329.50149,0.01475,4
607,330.48677,0.01472,1
608,331.47205,0.01472,1
609,331.45732,0.01473,1
610,331.44258,0.01474,1
611,331.42783,0.01475,4
612,332.41314,0.01469,0
613,332.39839,0.01475,0
614,332.38361,0.01478,0
615,332.36881,0.0148,4
616,333.35403,0.01478,4
617,334.33928,0.01475,4
618,335.32459,0.01469,1
619,336.3099,0.01469,1
620,336.2952,0.0147,1
621,337.2805,0.0147,0
622,337.26574,0.01476,0
623,337.25095,0.01479,0
624,337.23614,0.01481,4
625,338.22135,0.01479,3
626,338.20654,0.01481,4
627,339.19175,0.01479,4
628,340.17699,0.01476,1
629,341.16223,0.01476,1
630,341.14746,0.01477,1
631,341.13267,0.01479,1
632,342.11788,0.01479,1
633,343.10309,0.01479,1
634,344.0883,0.01479,1
635,345.07351,0.01479,2
636,346.05877,0.01474,2
637,347.04405,0.01472,2
638,348.02936,0.01469,2
639,349.0147,0.01466,4
640,350.00008,0.01462,0
641,349.98542,0.01466,0
642,349.97073,0.01469,1
643,349.95603,0.0147,0
644,349.94129,0.01474,1
645,349.92654,0.01475,1
646,350.91179,0.01475,1
647,350.89703,0.01476,1
648,350.88226,0.01477,2
649,351.86753,0.01473,0
650,351.85276,0.01477,0
651,351.83796,0.0148,0
652,351.8231,0.01486,4
653,352.8083,0.0148,1
654,352.79349,0.01481,1
655,352.77867,0.01482,1
656,353.76385,0.01482,3
657,353.74897,0.01488,0
658,353.73406,0.01491,0
659,353.71913,0.01493,0
660,353.70418,0.01495,4
661,354.68925,0.01493,4
662,355.67434,0.01491,2
663,356.65946,0.01488,2
664,357.64462,0.01484,2
665,358.6298,0.01482,2
666,359.61501,0.01479,2
667,360.60024,0.01477,1
668,360.58546,0.01478,0
669,360.57065,0.01481,0
670,360.5558,0.01485,0
671,360.54092,0.01488,0
672,360.52598,0.01494,0
673,360.51101,0.01497,4
674,361.49607,0.01494,4
675,362.48119,0.01488,4
676,363.46634,0.01485,4
677,364.45153,0.01481,4
678,365.43675,0.01478,4
679,366.42201,0.01474,0
680,366.40723,0.01478,0
681,366.39242,0.01481,0
682,366.37757,0.01485,0
683,366.36269,0.01488,4
684,367.34784,0.01485,4
685,368.33303,0.01481,1
686,368.31821,0.01482,1
687,368.30338,0.01483,1
688,368.28852,0.01486,4
689,369.27369,0.01483,0
690,369.25883,0.01486,4
691,370.244,0.01483,4
692,371.22921,0.01479,4
693,372.21445,0.01476,0
694,372.19966,0.01479,1
695,372.18486,0.0148,1
696,373.17006,0.0148,1
697,373.15524,0.01482,4
698,374.14045,0.01479,4
699,375.12567,0.01478,1
700,376.11089,0.01478,4
701,377.09614,0.01475,4
702,378.08147,0.01467,0
703,378.06672,0.01475,2
704,379.05205,0.01467,2
705,380.03741,0.01464,4
706,381.02282,0.01459,4
707,382.00827,0.01455,4
708,382.99376,0.01451,4
709,383.97926,0.0145,4
710,384.96478,0.01448,0
711,384.95028,0.0145,1
712,385.93578,0.0145,1
713,385.92127,0.01451,2
714,386.90677,0.0145,1
715,387.89227,0.0145,4
716,388.87777,0.0145,4
717,389.86331,0.01446,4
718,390.84891,0.0144,0
719,390.83445,0.01446,0
720,390.81995,0.0145,0
721,391.80545,0.0145,4
722,392.79095,0.0145,1
723,393.77645,0.0145,1
724,394.76195,0.0145,1
725,394.74743,0.01452,0
726,395.73291,0.01452,0
727,395.71837,0.01454,0
728,395.70382,0.01455,0
729,395.68923,0.01459,0
730,395.6746,0.01463,4
731,396.66001,0.01459,4
732,397.64546,0.01455,1
733,397.63088,0.01458,1
734,398.6163,0.01458,1
735,399.60172,0.01458,1
736,399.58712,0.0146,4
737,400.57253,0.01459,0
738,400.55793,0.0146,0
739,400.54329,0.01464,0
740,400.52861,0.01468,0
741,400.51388,0.01473,0
742,400.49911,0.01477,0
743,400.48426,0.01485,0
744,400.46938,0.01488,3
745,401.45451,0.01487,1
746,401.43962,0.01489,1
747,401.42469,0.01493,4
748,402.40977,0.01492,4
749,403.39488,0.01489,0
750,403.37996,0.01492,0
751,403.36503,0.01493,4
752,404.35011,0.01492,4
753,405.33522,0.01489,2
754,406.32041,0.01481,2
755,407.30563,0.01478,2
756,408.29087,0.01476,0
757,408.27606,0.01481,4
758,409.2613,0.01476,4
759,410.24658,0.01472,4
760,411.2319,0.01468,0
761,411.21718,0.01472,0
762,411.20242,0.01476,1
763,412.18766,0.01476,1
764,412.17289,0.01477,3
765,412.15809,0.0148,0
766,412.14324,0.01485,0
767,412.12831,0.01493,0
768,412.11335,0.01496,0
769,412.09838,0.01497,0
770,412.08338,0.015,4
771,413.06841,0.01497,4
772,414.05345,0.01496,4
773,415.03852,0.01493,1
774,415.02358,0.01494,0
775,415.00861,0.01497,5
776,415.99365,0.01496,1
777,415.97868,0.01497,4
778,416.96374,0.01494,4
779,417.94888,0.01486,4
780,418.93407,0.01481,4
781,419.9193,0.01477,0
782,419.90449,0.01481,0
783,419.88963,0.01486,0
784,419.87469,0.01494,1
785,419.85974,0.01495,1
786,420.84479,0.01495,4
787,421.82992,0.01487,2
788,422.81509,0.01483,3
789,422.80022,0.01487,0
790,422.78527,0.01495,0
791,422.77029,0.01498,0
792,422.7553,0.01499,4
793,423.74032,0.01498,4
794,424.72537,0.01495,4
795,425.7105,0.01487,0
796,425.69555,0.01495,0
797,425.68057,0.01498,0
798,425.66558,0.01499,4
799,426.6506,0.01498,4
800,427.63565,0.01495,4
801,428.62078,0.01487,1
802,428.6059,0.01488,0
803,428.59094,0.01496,0
804,428.57595,0.01499,4
805,429.56099,0.01496,4
806,430.54611,0.01488,4
807,431.53128,0.01483,4
808,432.51649,0.01479,4
809,433.50175,0.01474,0
810,433.48696,0.01479,0
811,433.47213,0.01483,1
812,433.45729,0.01484,1
813,433.44244,0.01485,4
814,434.42763,0.01481,4
815,435.41287,0.01476,0
816,435.39806,0.01481,0
817,435.38321,0.01485,0
818,435.36831,0.0149,5
819,436.35342,0.01489,1
820,436.33852,0.0149,1
821,436.3236,0.01492,1
822,436.30867,0.01493,1
823,437.29374,0.01493,2
824,438.27884,0.0149,4
825,439.26398,0.01486,4
826,440.24918,0.0148,4
827,441.2344,0.01478,4
828,442.21963,0.01477,0
829,442.20485,0.01478,1
830,443.19007,0.01478,1
831,444.17529,0.01478,1
832,445.16051,0.01478,4
833,446.14574,0.01477,4
834,447.13099,0.01475,4
835,448.11624,0.01475,0
836,449.10149,0.01475,0
837,449.08672,0.01477,0
838,449.07194,0.01478,4
839,450.05717,0.01477,0
840,450.04239,0.01478,1
841,450.0276,0.01479,2
842,451.01282,0.01478,0
843,450.99803,0.01479,4
844,451.98325,0.01478,4
845,452.96849,0.01476,4
846,453.95373,0.01476,0
847,454.93897,0.01476,0
848,454.92419,0.01478,4
849,455.90943,0.01476,0
850,455.89465,0.01478,4
851,456.87989,0.01476,4
852,457.86513,0.01476,4
853,458.85043,0.0147,0
854,458.83567,0.01476,4
855,459.82097,0.0147,0
856,459.80621,0.01476,4
857,460.79151,0.0147,4
858,461.77687,0.01464,4
859,462.76227,0.0146,0
860,462.74763,0.01464,0
861,462.73293,0.0147,1
862,462.71822,0.01471,4
863,463.70358,0.01464,4
864,464.68897,0.01461,4
865,465.67444,0.01453,0
866,465.65983,0.01461,0
867,465.6452,0.01463,0
868,465.63049,0.01471,4
869,466.61586,0.01463,4
870,467.60125,0.01461,4
871,468.58672,0.01453,4
872,469.57222,0.0145,0
873,469.55769,0.01453,0
874,469.54308,0.01461,1
875,469.52846,0.01462,4
876,470.51392,0.01454,4
877,471.49941,0.01451,0
878,471.48487,0.01454,0
879,471.47025,0.01462,0
880,471.45561,0.01464,0
881,471.4409,0.01471,4
882,472.42626,0.01464,1
883,472.41161,0.01465,1
884,472.39694,0.01467,4
885,473.38229,0.01465,0
886,473.36762,0.01467,2
887,474.35296,0.01466,0
888,474.33828,0.01468,4
889,475.32362,0.01466,4
890,476.30904,0.01458,0
891,476.29438,0.01466,0
892,476.2797,0.01468,0
893,476.26496,0.01474,0
894,476.25015,0.01481,0
895,476.23533,0.01482,1
896,476.2205,0.01483,0
897,476.20565,0.01485,1
898,476.19079,0.01486,4
899,477.17595,0.01484,0
900,477.16109,0.01486,0
901,477.14622,0.01487,0
902,477.13133,0.01489,0
903,477.11639,0.01494,0
904,477.1014,0.01499,4
905,478.08646,0.01494,4
906,479.07157,0.01489,3
907,479.05664,0.01493,4
908,480.04176,0.01488,0
909,480.02683,0.01493,0
910,480.01185,0.01498,0
911,479.99682,0.01503,4
912,480.98184,0.01498,4
913,481.96691,0.01493,4
914,482.95203,0.01488,0
915,482.9371,0.01493,0
916,482.92212,0.01498,0
917,482.90709,0.01503,4
918,483.89211,0.01498,1
919,483.87712,0.01499,1
920,484.86213,0.01499,1
921,484.84712,0.01501,0
922,484.83206,0.01506,1
923,485.817,0.01506,4
924,486.80199,0.01501,4
925,487.78703,0.01496,4
926,488.77212,0.01491,0
927,488.75716,0.01496,0
928,488.74215,0.01501,1
929,489.72714,0.01501,1
930,489.71211,0.01503,4
931,490.69713,0.01498,4
932,491.6822,0.01493,0
933,491.66722,0.01498,0
934,491.65219,0.01503,0
935,491.63711,0.01508,0
936,491.62196,0.01515,4
937,492.60688,0.01508,3
938,492.59175,0.01513,4
939,493.57669,0.01506,0
940,493.56156,0.01513,0
941,493.5464,0.01516,4
942,494.53127,0.01513,4
943,495.51621,0.01506,4
944,496.5012,0.01501,0
945,496.48614,0.01506,0
946,496.47101,0.01513,4
