Episode: 71 , Rewards: 55.93191999999999 , QoS violation: 0.01506 , Action type: 4 
Episode: 72 , Rewards: 55.91679999999999 , QoS violation: 0.01512 , Action type: 4 
Episode: 73 , Rewards: 55.90161999999999 , QoS violation: 0.01518 , Action type: 4 
Episode: 74 , Rewards: 55.886409999999984 , QoS violation: 0.01521 , Action type: 4 
Episode: 75 , Rewards: 55.87113999999998 , QoS violation: 0.01527 , Action type: 4 
Episode: 76 , Rewards: 55.855859999999986 , QoS violation: 0.01528 , Action type: 4 
Episode: 77 , Rewards: 55.84055999999998 , QoS violation: 0.0153 , Action type: 4 
Episode: 78 , Rewards: 55.82523999999998 , QoS violation: 0.01532 , Action type: 4 
Episode: 79 , Rewards: 55.80981999999998 , QoS violation: 0.01542 , Action type: 4 
Episode: 80 , Rewards: 55.79434999999998 , QoS violation: 0.01547 , Action type: 4 
Episode: 81 , Rewards: 55.77883999999998 , QoS violation: 0.01551 , Action type: 4 
Episode: 82 , Rewards: 55.763289999999984 , QoS violation: 0.01555 , Action type: 4 
Episode: 83 , Rewards: 55.74771999999999 , QoS violation: 0.01557 , Action type: 4 
Episode: 84 , Rewards: 55.73211999999999 , QoS violation: 0.0156 , Action type: 4 
Episode: 85 , Rewards: 55.71647999999999 , QoS violation: 0.01564 , Action type: 4 
Episode: 86 , Rewards: 55.70075999999999 , QoS violation: 0.01572 , Action type: 1 
Episode: 87 , Rewards: 55.68499999999999 , QoS violation: 0.01576 , Action type: 1 
Episode: 88 , Rewards: 55.669189999999986 , QoS violation: 0.01581 , Action type: 1 
Episode: 89 , Rewards: 55.65332999999998 , QoS violation: 0.01586 , Action type: 1 
Episode: 90 , Rewards: 55.63742999999998 , QoS violation: 0.0159 , Action type: 1 
Episode: 91 , Rewards: 55.62149999999998 , QoS violation: 0.01593 , Action type: 1 
Episode: 92 , Rewards: 55.605519999999984 , QoS violation: 0.01598 , Action type: 1 
Episode: 93 , Rewards: 55.589469999999984 , QoS violation: 0.01605 , Action type: 1 
Episode: 94 , Rewards: 55.573379999999986 , QoS violation: 0.01609 , Action type: 1 
Episode: 95 , Rewards: 55.55722999999998 , QoS violation: 0.01615 , Action type: 5 
Episode: 96 , Rewards: 56.54107999999998 , QoS violation: 0.01615 , Action type: 5 
Episode: 97 , Rewards: 57.52493999999998 , QoS violation: 0.01614 , Action type: 5 
Episode: 98 , Rewards: 58.50879999999998 , QoS violation: 0.01614 , Action type: 5 
Episode: 99 , Rewards: 59.49268999999998 , QoS violation: 0.01611 , Action type: 5 
Episode: 100 , Rewards: 60.47658999999998 , QoS violation: 0.0161 , Action type: 5 
Episode: 101 , Rewards: 61.46049999999998 , QoS violation: 0.01609 , Action type: 3 
Episode: 102 , Rewards: 62.44446999999998 , QoS violation: 0.01603 , Action type: 5 
Episode: 103 , Rewards: 63.42843999999998 , QoS violation: 0.01603 , Action type: 5 
Episode: 104 , Rewards: 64.41242999999999 , QoS violation: 0.01601 , Action type: 3 
Episode: 105 , Rewards: 65.39645999999999 , QoS violation: 0.01597 , Action type: 5 
Episode: 106 , Rewards: 66.38053 , QoS violation: 0.01593 , Action type: 1 
Episode: 107 , Rewards: 66.36456 , QoS violation: 0.01597 , Action type: 1 
Episode: 108 , Rewards: 66.34854 , QoS violation: 0.01602 , Action type: 0 
Episode: 109 , Rewards: 66.33248 , QoS violation: 0.01606 , Action type: 4 
Episode: 110 , Rewards: 67.31643 , QoS violation: 0.01605 , Action type: 4 
Episode: 111 , Rewards: 67.30032 , QoS violation: 0.01611 , Action type: 4 
Episode: 112 , Rewards: 67.28416 , QoS violation: 0.01616 , Action type: 4 
Episode: 113 , Rewards: 67.26795 , QoS violation: 0.01621 , Action type: 4 
Episode: 114 , Rewards: 67.25167 , QoS violation: 0.01628 , Action type: 4 
Episode: 115 , Rewards: 67.23534000000001 , QoS violation: 0.01633 , Action type: 4 
Episode: 116 , Rewards: 67.21897000000001 , QoS violation: 0.01637 , Action type: 5 
Episode: 117 , Rewards: 68.20260000000002 , QoS violation: 0.01637 , Action type: 1 
Episode: 118 , Rewards: 68.18622000000002 , QoS violation: 0.01638 , Action type: 3 
Episode: 119 , Rewards: 69.16985000000003 , QoS violation: 0.01637 , Action type: 3 
Episode: 120 , Rewards: 70.15352000000003 , QoS violation: 0.01633 , Action type: 3 
Episode: 121 , Rewards: 71.13725000000002 , QoS violation: 0.01627 , Action type: 3 
Episode: 122 , Rewards: 72.12105000000003 , QoS violation: 0.0162 , Action type: 3 
Episode: 123 , Rewards: 73.10490000000003 , QoS violation: 0.01615 , Action type: 3 
Episode: 124 , Rewards: 74.08882000000003 , QoS violation: 0.01608 , Action type: 3 
Episode: 125 , Rewards: 75.07279000000003 , QoS violation: 0.01603 , Action type: 3 
Episode: 126 , Rewards: 76.05679000000002 , QoS violation: 0.016 , Action type: 3 
Episode: 127 , Rewards: 77.04085000000002 , QoS violation: 0.01594 , Action type: 3 
Episode: 128 , Rewards: 78.02494000000002 , QoS violation: 0.01591 , Action type: 3 
Episode: 129 , Rewards: 79.00910000000002 , QoS violation: 0.01584 , Action type: 3 
Episode: 130 , Rewards: 79.99331000000002 , QoS violation: 0.01579 , Action type: 5 
Episode: 131 , Rewards: 80.97753000000002 , QoS violation: 0.01578 , Action type: 2 
Episode: 132 , Rewards: 81.96177000000002 , QoS violation: 0.01576 , Action type: 2 
Episode: 133 , Rewards: 82.94605000000001 , QoS violation: 0.01572 , Action type: 4 
Episode: 134 , Rewards: 82.93029000000001 , QoS violation: 0.01576 , Action type: 4 
Episode: 135 , Rewards: 82.91451 , QoS violation: 0.01578 , Action type: 4 
Episode: 136 , Rewards: 82.89869 , QoS violation: 0.01582 , Action type: 4 
Episode: 137 , Rewards: 82.88283 , QoS violation: 0.01586 , Action type: 4 
Episode: 138 , Rewards: 82.86695 , QoS violation: 0.01588 , Action type: 4 
Episode: 139 , Rewards: 82.85102 , QoS violation: 0.01593 , Action type: 4 
Episode: 140 , Rewards: 82.83506 , QoS violation: 0.01596 , Action type: 1 
Episode: 141 , Rewards: 82.81906 , QoS violation: 0.016 , Action type: 1 
Episode: 142 , Rewards: 82.80297999999999 , QoS violation: 0.01608 , Action type: 1 
Episode: 143 , Rewards: 82.78685999999999 , QoS violation: 0.01612 , Action type: 2 
Episode: 144 , Rewards: 83.77077999999999 , QoS violation: 0.01608 , Action type: 2 
Episode: 145 , Rewards: 84.75477 , QoS violation: 0.01601 , Action type: 2 
Episode: 146 , Rewards: 85.73879 , QoS violation: 0.01598 , Action type: 2 
Episode: 147 , Rewards: 86.72281 , QoS violation: 0.01598 , Action type: 3 
Episode: 148 , Rewards: 87.70689 , QoS violation: 0.01592 , Action type: 3 
Episode: 149 , Rewards: 88.691 , QoS violation: 0.01589 , Action type: 3 
Episode: 150 , Rewards: 89.67518 , QoS violation: 0.01582 , Action type: 0 
Episode: 151 , Rewards: 89.65935 , QoS violation: 0.01583 , Action type: 0 
Episode: 152 , Rewards: 89.64351 , QoS violation: 0.01584 , Action type: 0 
Episode: 153 , Rewards: 90.62767000000001 , QoS violation: 0.01584 , Action type: 0 
Episode: 154 , Rewards: 91.61183000000001 , QoS violation: 0.01584 , Action type: 0 
Episode: 155 , Rewards: 91.59598000000001 , QoS violation: 0.01585 , Action type: 0 
Episode: 156 , Rewards: 92.58013000000001 , QoS violation: 0.01585 , Action type: 0 
Episode: 157 , Rewards: 93.56428000000001 , QoS violation: 0.01585 , Action type: 0 
