,Rewards,QoS violation,
Episode: 459 ,269.01383,0.01369, Action type: 0 
Episode: 460 ,269.00013,0.0137, Action type: 0 
Episode: 461 ,268.98642,0.01371, Action type: 0 
Episode: 462 ,269.97271,0.01371, Action type: 2 
Episode: 463 ,270.95904,0.01367, Action type: 2 
Episode: 464 ,271.94539,0.01365, Action type: 0 
Episode: 465 ,271.93173,0.01366, Action type: 0 
Episode: 466 ,271.91806,0.01367, Action type: 0 
Episode: 467 ,272.90439,0.01367, Action type: 0 
Episode: 468 ,272.89071,0.01368, Action type: 0 
Episode: 469 ,273.87703,0.01368, Action type: 0 
Episode: 470 ,273.86334,0.01369, Action type: 0 
Episode: 471 ,273.84964,0.0137, Action type: 0 
Episode: 472 ,274.83594,0.0137, Action type: 2 
Episode: 473 ,275.82227,0.01367, Action type: 2 
Episode: 474 ,276.80864,0.01363, Action type: 2 
Episode: 475 ,277.79505,0.01359, Action type: 2 
Episode: 476 ,278.7815,0.01355, Action type: 0 
Episode: 477 ,278.76793,0.01357, Action type: 0 
Episode: 478 ,279.75436,0.01357, Action type: 0 
Episode: 479 ,279.74078,0.01358, Action type: 0 
Episode: 480 ,279.72717,0.01361, Action type: 0 
Episode: 481 ,279.71354,0.01363, Action type: 2 
Episode: 482 ,280.69996,0.01358, Action type: 2 
Episode: 483 ,281.68641,0.01355, Action type: 2 
Episode: 484 ,282.67287,0.01354, Action type: 2 
Episode: 485 ,283.65935,0.01352, Action type: 2 
Episode: 486 ,284.64585,0.0135, Action type: 0 
Episode: 487 ,284.63234,0.01351, Action type: 0 
Episode: 488 ,285.61883,0.01351, Action type: 0 
Episode: 489 ,285.60531,0.01352, Action type: 0 
Episode: 490 ,285.59178,0.01353, Action type: 5 
Episode: 491 ,286.57826,0.01352, Action type: 2 
Episode: 492 ,287.56476,0.0135, Action type: 2 
Episode: 493 ,288.55128,0.01348, Action type: 2 
Episode: 494 ,289.53784,0.01344, Action type: 2 
Episode: 495 ,290.52443,0.01341, Action type: 0 
Episode: 496 ,290.51101,0.01342, Action type: 0 
Episode: 497 ,290.49756,0.01345, Action type: 0 
Episode: 498 ,290.4841,0.01346, Action type: 0 
Episode: 499 ,291.47064,0.01346, Action type: 0 
Episode: 500 ,292.45718,0.01346, Action type: 0 
Episode: 501 ,292.4437,0.01348, Action type: 0 
Episode: 502 ,292.43019,0.01351, Action type: 2 
Episode: 503 ,293.41671,0.01348, Action type: 2 
Episode: 504 ,294.40323,0.01348, Action type: 5 
Episode: 505 ,295.38976,0.01347, Action type: 2 
Episode: 506 ,296.37632,0.01344, Action type: 5 
Episode: 507 ,297.36289,0.01343, Action type: 2 
Episode: 508 ,298.34947,0.01342, Action type: 0 
Episode: 509 ,298.33602,0.01345, Action type: 0 
Episode: 510 ,299.32257,0.01345, Action type: 0 
Episode: 511 ,300.30912,0.01345, Action type: 0 
