, Rewards,QoS violation,,
Episode: 97 ,66.51741,0.01509, Action type: [2, 0] 
Episode: 98 ,67.50236,0.01505, Action type: [2, 0] 
Episode: 99 ,68.48732,0.01504, Action type: [2, 0] 
Episode: 100 ,69.4723,0.01502, Action type: [2, 0] 
Episode: 101 ,70.45728,0.01502, Action type: [2, 0] 
Episode: 102 ,71.44227,0.01501, Action type: [0, 2] 
Episode: 103 ,71.42725,0.01502, Action type: [0, 2] 
Episode: 104 ,72.41223,0.01502, Action type: [0, 2] 
Episode: 105 ,72.39719,0.01504, Action type: [0, 2] 
Episode: 106 ,72.38214,0.01505, Action type: [0, 2] 
Episode: 107 ,72.36705,0.01509, Action type: [0, 2] 
Episode: 108 ,73.35196,0.01509, Action type: [2, 0] 
Episode: 109 ,74.33687,0.01509, Action type: [2, 0] 
Episode: 110 ,75.32182,0.01505, Action type: [2, 0] 
Episode: 111 ,76.30678,0.01504, Action type: [2, 0] 
Episode: 112 ,77.29176,0.01502, Action type: [2, 1] 
Episode: 113 ,77.2767,0.01506, Action type: [0, 2] 
Episode: 114 ,78.26164,0.01506, Action type: [0, 2] 
Episode: 115 ,78.24656,0.01508, Action type: [0, 2] 
Episode: 116 ,78.23147,0.01509, Action type: [0, 2] 
Episode: 117 ,78.21634,0.01513, Action type: [0, 2] 
Episode: 118 ,79.20121,0.01513, Action type: [1, 0] 
Episode: 119 ,80.18612,0.01509, Action type: [1, 0] 
Episode: 120 ,81.17108,0.01504, Action type: [2, 0] 
Episode: 121 ,82.15604,0.01504, Action type: [2, 0] 
Episode: 122 ,83.14104,0.015, Action type: [2, 0] 
Episode: 123 ,84.12605,0.01499, Action type: [0, 1] 
Episode: 124 ,84.11101,0.01504, Action type: [0, 1] 
Episode: 125 ,84.09593,0.01508, Action type: [0 1] ,
Episode: 126 ,84.08081,0.01512, Action type: [0, 1] 
Episode: 127 ,84.06564,0.01517, Action type: [1, 0] 
Episode: 128 ,85.05052,0.01512, Action type: [1, 0] 
Episode: 129 ,86.03544,0.01508, Action type: [1, 0] 
Episode: 130 ,87.0204,0.01504, Action type: [1, 0] 
Episode: 131 ,88.00541,0.01499, Action type: [2, 0] 
Episode: 132 ,88.99044,0.01497, Action type: [2, 0] 
Episode: 133 ,89.97547,0.01497, Action type: [0, 1] 
Episode: 134 ,89.96045,0.01502, Action type: [0, 2] 
Episode: 135 ,90.94543,0.01502, Action type: [0, 2] 
Episode: 136 ,90.93039,0.01504, Action type: [0 2] ,
Episode: 137 ,90.91534,0.01505, Action type: [0, 2] 
Episode: 138 ,90.90025,0.01509, Action type: [2, 0] 
Episode: 139 ,91.8852,0.01505, Action type: [2, 0] 
Episode: 140 ,92.87016,0.01504, Action type: [2, 0] 
Episode: 141 ,93.85514,0.01502, Action type: [2, 0] 
Episode: 142 ,94.84012,0.01502, Action type: [1, 2] 
Episode: 143 ,95.82515,0.01497, Action type: [1, 2] 
Episode: 144 ,95.81017,0.01498, Action type: [1, 2] 
Episode: 145 ,96.79523,0.01494, Action type: [0, 2] 
Episode: 146 ,96.78025,0.01498, Action type: [0, 1] 
Episode: 147 ,96.76522,0.01503, Action type: [2, 1] 
Episode: 148 ,97.75022,0.015, Action type: [2, 1] 
Episode: 149 ,97.73518,0.01504, Action type: [1 1] ,
Episode: 150 ,98.72014,0.01504, Action type: [2, 1] 
Episode: 151 ,98.70508,0.01506, Action type: [0 2] ,
Episode: 152 ,98.69,0.01508, Action type: [1, 2] 
Episode: 153 ,99.67495,0.01505, Action type: [0 1] ,
Episode: 154 ,99.65986,0.01509, Action type: [1, 2] 
Episode: 155 ,100.64477,0.01509, Action type: [0, 2] 
Episode: 156 ,101.62968,0.01509, Action type: [2, 1] 
Episode: 157 ,101.61455,0.01513, Action type: [2, 1] 
Episode: 158 ,102.59942,0.01513, Action type: [2, 1] 
Episode: 159 ,102.58425,0.01517, Action type: [2, 1] 
Episode: 160 ,102.56905,0.0152, Action type: [1, 0] 
Episode: 161 ,103.5539,0.01515, Action type: [1, 2] 
Episode: 162 ,104.53878,0.01512, Action type: [2 2] ,
Episode: 163 ,105.52366,0.01512, Action type: [1, 2] 
Episode: 164 ,106.50857,0.01509, Action type: [0 0] ,
Episode: 165 ,107.49348,0.01509, Action type: [0, 1] 
Episode: 166 ,107.47835,0.01513, Action type: [0 1] ,
Episode: 167 ,107.46317,0.01518, Action type: [2, 1] 
Episode: 168 ,107.44795,0.01522, Action type: [2, 0] 
Episode: 169 ,108.43275,0.0152, Action type: [1, 0] 
Episode: 170 ,109.4176,0.01515, Action type: [1, 2] 
Episode: 171 ,110.40248,0.01512, Action type: [0 2] ,
Episode: 172 ,110.38735,0.01513, Action type: [0, 1] 
Episode: 173 ,110.37217,0.01518, Action type: [0, 1] 
Episode: 174 ,110.35694,0.01523, Action type: [0, 1] 
Episode: 175 ,110.34166,0.01528, Action type: [2, 0] 
Episode: 176 ,111.32639,0.01527, Action type: [1, 0] 
Episode: 177 ,112.31117,0.01522, Action type: [1, 0] 
Episode: 178 ,113.296,0.01517, Action type: [1, 0] 
Episode: 179 ,114.28088,0.01512, Action type: [0, 2] 
Episode: 180 ,114.26575,0.01513, Action type: [0, 1] 
Episode: 181 ,114.25057,0.01518, Action type: [0, 1] 
Episode: 182 ,114.23534,0.01523, Action type: [0, 1] 
Episode: 183 ,114.22006,0.01528, Action type: [2, 0] 
Episode: 184 ,115.20479,0.01527, Action type: [1, 0] 
Episode: 185 ,116.18957,0.01522, Action type: [1, 0] 
Episode: 186 ,117.1744,0.01517, Action type: [0, 1] 
Episode: 187 ,117.15918,0.01522, Action type: [0, 1] 
Episode: 188 ,117.14391,0.01527, Action type: [0, 1] 
Episode: 189 ,117.12856,0.01535, Action type: [1, 2] 
Episode: 190 ,118.11328,0.01528, Action type: [1, 0] 
Episode: 191 ,119.09805,0.01523, Action type: [2, 0] 
Episode: 192 ,120.08283,0.01522, Action type: [2, 1] 
Episode: 193 ,120.06758,0.01525, Action type: [2, 1] 
Episode: 194 ,120.05225,0.01533, Action type: [0, 1] 
Episode: 195 ,120.03687,0.01538, Action type: [0, 1] 
Episode: 196 ,120.02145,0.01542, Action type: [1, 2] 
Episode: 197 ,121.00607,0.01538, Action type: [1, 2] 
Episode: 198 ,121.99072,0.01535, Action type: [1, 0] 
Episode: 199 ,122.97545,0.01527, Action type: [2, 1] 
Episode: 200 ,122.96012,0.01533, Action type: [2, 1] 
Episode: 201 ,122.94474,0.01538, Action type: [2, 1] 
Episode: 202 ,122.92933,0.01541, Action type: [0 1] ,
Episode: 203 ,122.91388,0.01545, Action type: [1, 2] 
Episode: 204 ,123.89846,0.01542, Action type: [1, 2] 
Episode: 205 ,124.88308,0.01538, Action type: [0, 2] 
Episode: 206 ,124.86768,0.0154, Action type: [0 2] ,
Episode: 207 ,124.85227,0.01541, Action type: [2, 0] 
Episode: 208 ,125.83687,0.0154, Action type: [1, 0] 
Episode: 209 ,126.82152,0.01535, Action type: [1, 0] 
Episode: 210 ,127.80625,0.01527, Action type: [2, 0] 
Episode: 211 ,128.791,0.01525, Action type: [0, 1] 
Episode: 212 ,128.77567,0.01533, Action type: [0, 1] 
Episode: 213 ,128.76029,0.01538, Action type: [0, 1] 
Episode: 214 ,128.74488,0.01541, Action type: [1, 2] 
Episode: 215 ,129.72948,0.0154, Action type: [1, 0] 
Episode: 216 ,130.71413,0.01535, Action type: [2 0] ,
Episode: 217 ,131.6988,0.01533, Action type: [2, 1] 
Episode: 218 ,131.68342,0.01538, Action type: [2, 1] 
Episode: 219 ,131.66802,0.0154, Action type: [1, 2] 
Episode: 220 ,132.65264,0.01538, Action type: [1, 2] 
Episode: 221 ,133.63731,0.01533, Action type: [1, 2] 
Episode: 222 ,134.62204,0.01527, Action type: [1, 2] 
Episode: 223 ,135.60681,0.01523, Action type: [0 1] ,
Episode: 224 ,135.59153,0.01528, Action type: [2, 1] 
Episode: 225 ,135.57618,0.01535, Action type: [2, 0] 
Episode: 226 ,136.56085,0.01533, Action type: [1, 0] 
Episode: 227 ,137.5456,0.01525, Action type: [0, 1] 
Episode: 228 ,137.53027,0.01533, Action type: [1 0] ,
Episode: 229 ,138.51502,0.01525, Action type: [0, 2] 
Episode: 230 ,138.49975,0.01527, Action type: [1, 2] 
Episode: 231 ,139.48452,0.01523, Action type: [1, 0] 
Episode: 232 ,140.46935,0.01517, Action type: [2, 1] 
Episode: 233 ,140.45413,0.01522, Action type: [2, 1] 
Episode: 234 ,140.43888,0.01525, Action type: [0, 1] 
Episode: 235 ,140.42355,0.01533, Action type: [0, 2] 
Episode: 236 ,140.4082,0.01535, Action type: [1, 0] 
Episode: 237 ,141.39293,0.01527, Action type: [1, 0] 
Episode: 238 ,142.37771,0.01522, Action type: [2, 1] 
Episode: 239 ,142.36246,0.01525, Action type: [0, 1] 
Episode: 240 ,142.34713,0.01533, Action type: [0, 1] 
Episode: 241 ,142.33175,0.01538, Action type: [2, 1] 
Episode: 242 ,142.31634,0.01541, Action type: [1, 0] 
Episode: 243 ,143.30096,0.01538, Action type: [1, 2] 
Episode: 244 ,144.28564,0.01532, Action type: [0, 1] 
Episode: 245 ,144.27026,0.01538, Action type: [0, 1] 
Episode: 246 ,144.25485,0.01541, Action type: [2, 1] 
Episode: 247 ,144.2394,0.01545, Action type: [1, 0] 
Episode: 248 ,145.22399,0.01541, Action type: [1, 0] 
Episode: 249 ,146.20861,0.01538, Action type: [0, 1] 
Episode: 250 ,146.1932,0.01541, Action type: [0, 1] 
Episode: 251 ,146.17775,0.01545, Action type: [1, 0] 
Episode: 252 ,147.16234,0.01541, Action type: [1, 0] 
Episode: 253 ,148.14696,0.01538, Action type: [0, 1] 
Episode: 254 ,148.13155,0.01541, Action type: [1, 0] 
Episode: 255 ,149.11617,0.01538, Action type: [1, 0] 
Episode: 256 ,150.10085,0.01532, Action type: [0 1] ,
Episode: 257 ,150.08547,0.01538, Action type: [0, 1] 
Episode: 258 ,150.07006,0.01541, Action type: [0, 1] 
Episode: 259 ,150.05461,0.01545, Action type: [1 2] ,
Episode: 260 ,151.0392,0.01541, Action type: [1, 0] 
Episode: 261 ,152.02382,0.01538, Action type: [0, 2] 
Episode: 262 ,152.00842,0.0154, Action type: [0, 1] 
Episode: 263 ,151.99299,0.01543, Action type: [2, 0] 
Episode: 264 ,152.97758,0.01541, Action type: [1, 0] 
Episode: 265 ,153.9622,0.01538, Action type: [1, 2] 
Episode: 266 ,154.94686,0.01534, Action type: [0, 1] 
Episode: 267 ,154.93146,0.0154, Action type: [0, 1] 
Episode: 268 ,154.91603,0.01543, Action type: [2, 1] 
Episode: 269 ,154.90058,0.01545, Action type: [1, 0] 
Episode: 270 ,155.88517,0.01541, Action type: [1, 0] 
Episode: 271 ,156.86979,0.01538, Action type: [0, 1] 
Episode: 272 ,156.85438,0.01541, Action type: [0, 1] 
Episode: 273 ,156.83893,0.01545, Action type: [0, 1] 
Episode: 274 ,156.82344,0.01549, Action type: [1, 0] 
Episode: 275 ,157.80799,0.01545, Action type: [1, 0] 
Episode: 276 ,158.79258,0.01541, Action type: [0, 1] 
Episode: 277 ,158.77713,0.01545, Action type: [0, 1] 
Episode: 278 ,158.76164,0.01549, Action type: [0 1] ,
Episode: 279 ,158.74612,0.01552, Action type: [1, 0] 
Episode: 280 ,159.73063,0.01549, Action type: [1, 0] 
Episode: 281 ,160.71518,0.01545, Action type: [1, 2] 
Episode: 282 ,161.69975,0.01543, Action type: [0, 1] 
Episode: 283 ,161.68428,0.01547, Action type: [1, 0] 
Episode: 284 ,162.66885,0.01543, Action type: [1, 0] 
Episode: 285 ,163.65346,0.01539, Action type: [1, 0] 
Episode: 286 ,164.63812,0.01534, Action type: [0, 1] 
Episode: 287 ,164.62273,0.01539, Action type: [0, 1] 
Episode: 288 ,164.6073,0.01543, Action type: [1, 2] 
Episode: 289 ,165.5919,0.0154, Action type: [1, 0] 
Episode: 290 ,166.57655,0.01535, Action type: [2, 1] 
Episode: 291 ,166.56116,0.01539, Action type: [0, 1] 
Episode: 292 ,166.54573,0.01543, Action type: [1, 0] 
Episode: 293 ,167.53034,0.01539, Action type: [1, 0] 
Episode: 294 ,168.515,0.01534, Action type: [1, 2] 
Episode: 295 ,169.49972,0.01528, Action type: [2 1] ,
Episode: 296 ,169.48438,0.01534, Action type: [1, 0] 
Episode: 297 ,170.46911,0.01527, Action type: [1, 0] 
Episode: 298 ,171.45389,0.01522, Action type: [2, 1] 
Episode: 299 ,171.43864,0.01525, Action type: [0 1] ,
Episode: 300 ,171.42333,0.01531, Action type: [0, 1] 
Episode: 301 ,171.40796,0.01537, Action type: [1, 0] 
Episode: 302 ,172.39265,0.01531, Action type: [1, 2] 
Episode: 303 ,173.37739,0.01526, Action type: [0, 1] 
Episode: 304 ,173.36206,0.01533, Action type: [0, 1] 
Episode: 305 ,173.34667,0.01539, Action type: [0 2] ,
Episode: 306 ,173.33127,0.0154, Action type: [2 0] ,
Episode: 307 ,174.31588,0.01539, Action type: [1, 0] 
Episode: 308 ,175.30055,0.01533, Action type: [1, 2] 
Episode: 309 ,176.28528,0.01527, Action type: [1, 2] 
Episode: 310 ,177.27001,0.01527, Action type: [0 1] ,
Episode: 311 ,177.2547,0.01531, Action type: [1 2] ,
Episode: 312 ,178.23943,0.01527, Action type: [2, 0] 
Episode: 313 ,179.22416,0.01527, Action type: [1, 0] 
Episode: 314 ,180.20895,0.01521, Action type: [1, 2] 
Episode: 315 ,181.19379,0.01516, Action type: [0, 2] 
Episode: 316 ,181.17862,0.01517, Action type: [0, 2] 
Episode: 317 ,181.16344,0.01518, Action type: [0 0] ,
Episode: 318 ,182.14826,0.01518, Action type: [2, 0] 
Episode: 319 ,183.13309,0.01517, Action type: [2, 0] 
Episode: 320 ,184.11793,0.01516, Action type: [0, 1] 
Episode: 321 ,184.10272,0.01521, Action type: [0, 2] 
Episode: 322 ,184.0875,0.01522, Action type: [0, 2] 
Episode: 323 ,184.07227,0.01523, Action type: [1, 0] 
Episode: 324 ,185.05709,0.01518, Action type: [2, 0] 
Episode: 325 ,186.04192,0.01517, Action type: [2, 1] 
Episode: 326 ,186.02671,0.01521, Action type: [0, 1] 
Episode: 327 ,186.01144,0.01527, Action type: [1, 2] 
Episode: 328 ,186.99622,0.01522, Action type: [1, 2] 
Episode: 329 ,187.98104,0.01518, Action type: [1, 0] 
Episode: 330 ,188.96589,0.01515, Action type: [2, 1] 
Episode: 331 ,188.95072,0.01517, Action type: [2, 1] 
Episode: 332 ,188.93551,0.01521, Action type: [0, 2] 
Episode: 333 ,188.92029,0.01522, Action type: [1, 2] 
Episode: 334 ,189.90511,0.01518, Action type: [1, 0] 
Episode: 335 ,190.88997,0.01514, Action type: [2, 0] 
Episode: 336 ,191.87484,0.01513, Action type: [2, 0] 
Episode: 337 ,192.85972,0.01512, Action type: [1, 0] 
Episode: 338 ,193.84464,0.01508, Action type: [0, 2] 
Episode: 339 ,193.82955,0.01509, Action type: [0, 1] 
Episode: 340 ,193.81442,0.01513, Action type: [2, 1] 
Episode: 341 ,193.79926,0.01516, Action type: [2 1] ,
Episode: 342 ,193.78405,0.01521, Action type: [1, 0] 
Episode: 343 ,194.76889,0.01516, Action type: [1, 0] 
Episode: 344 ,195.75377,0.01512, Action type: [0, 1] 
Episode: 345 ,195.73861,0.01516, Action type: [0, 1] 
Episode: 346 ,195.7234,0.01521, Action type: [2, 0] 
Episode: 347 ,196.70822,0.01518, Action type: [1, 0] 
Episode: 348 ,197.69309,0.01513, Action type: [1, 0] 
Episode: 349 ,198.678,0.01509, Action type: [0, 2] 
Episode: 350 ,198.66288,0.01512, Action type: [0, 1] 
Episode: 351 ,198.64772,0.01516, Action type: [0, 1] 
Episode: 352 ,198.63251,0.01521, Action type: [1, 0] 
Episode: 353 ,199.61735,0.01516, Action type: [1, 0] 
Episode: 354 ,200.60223,0.01512, Action type: [0, 1] 
Episode: 355 ,200.58707,0.01516, Action type: [0, 1] 
Episode: 356 ,200.57186,0.01521, Action type: [1, 2] 
Episode: 357 ,201.5567,0.01516, Action type: [1, 0] 
Episode: 358 ,202.54158,0.01512, Action type: [2, 0] 
Episode: 359 ,203.52646,0.01512, Action type: [0, 1] 
Episode: 360 ,203.5113,0.01516, Action type: [0, 1] 
Episode: 361 ,203.49609,0.01521, Action type: [1, 0] 
Episode: 362 ,204.48093,0.01516, Action type: [1, 0] 
Episode: 363 ,205.46581,0.01512, Action type: [0, 1] 
Episode: 364 ,205.45065,0.01516, Action type: [0, 1] 
Episode: 365 ,205.43544,0.01521, Action type: [1, 2] 
Episode: 366 ,206.42028,0.01516, Action type: [0 1] ,
Episode: 367 ,206.40507,0.01521, Action type: [1, 0] 
Episode: 368 ,207.38991,0.01516, Action type: [0, 1] 
Episode: 369 ,207.3747,0.01521, Action type: [0, 1] 
Episode: 370 ,207.35943,0.01527, Action type: [2, 1] 
Episode: 371 ,207.34413,0.0153, Action type: [1, 0] 
Episode: 372 ,208.32886,0.01527, Action type: [2 0] ,
Episode: 373 ,209.31363,0.01523, Action type: [0, 1] 
Episode: 374 ,209.29837,0.01526, Action type: [0, 1] 
Episode: 375 ,209.28304,0.01533, Action type: [2, 0] 
Episode: 376 ,210.26772,0.01532, Action type: [1, 0] 
Episode: 377 ,211.25247,0.01525, Action type: [1 1] ,
Episode: 378 ,212.23722,0.01525, Action type: [0, 1] 
Episode: 379 ,212.2219,0.01532, Action type: [0, 1] 
Episode: 380 ,212.20653,0.01537, Action type: [2 0] ,
Episode: 381 ,213.19118,0.01535, Action type: [1, 0] 
Episode: 382 ,214.17588,0.0153, Action type: [1, 0] 
Episode: 383 ,215.16065,0.01523, Action type: [0, 2] 
Episode: 384 ,215.1454,0.01525, Action type: [1 1] ,
Episode: 385 ,216.13015,0.01525, Action type: [0, 1] 
Episode: 386 ,216.11483,0.01532, Action type: [1, 0] 
Episode: 387 ,217.09958,0.01525, Action type: [1, 0] 
Episode: 388 ,218.08436,0.01522, Action type: [0, 2] 
Episode: 389 ,218.06913,0.01523, Action type: [0, 1] 
Episode: 390 ,218.05387,0.01526, Action type: [2, 1] 
Episode: 391 ,218.03855,0.01532, Action type: [2, 0] 
Episode: 392 ,219.02325,0.0153, Action type: [1, 0] 
Episode: 393 ,220.00802,0.01523, Action type: [1, 0] 
Episode: 394 ,220.99282,0.0152, Action type: [0, 2] 
Episode: 395 ,220.9776,0.01522, Action type: [0, 2] 
Episode: 396 ,220.96237,0.01523, Action type: [0, 1] 
Episode: 397 ,220.94711,0.01526, Action type: [2, 0] 
Episode: 398 ,221.93186,0.01525, Action type: [2, 0] 
Episode: 399 ,222.91663,0.01523, Action type: [0, 2] 
Episode: 400 ,222.90138,0.01525, Action type: [0, 2] 
Episode: 401 ,222.88612,0.01526, Action type: [0, 2] 
Episode: 402 ,222.87082,0.0153, Action type: [1, 0] 
Episode: 403 ,223.85555,0.01527, Action type: [2, 0] 
Episode: 404 ,224.84032,0.01523, Action type: [2, 0] 
Episode: 405 ,225.8251,0.01522, Action type: [0, 1] 
Episode: 406 ,225.80985,0.01525, Action type: [0, 2] 
Episode: 407 ,225.79459,0.01526, Action type: [0, 2] 
Episode: 408 ,225.77929,0.0153, Action type: [0 2] ,
Episode: 409 ,226.76399,0.0153, Action type: [2, 0] 
Episode: 410 ,227.74869,0.0153, Action type: [2, 0] 
Episode: 411 ,228.73343,0.01526, Action type: [2, 0] 
Episode: 412 ,229.71818,0.01525, Action type: [0, 2] 
Episode: 413 ,229.70292,0.01526, Action type: [0, 2] 
Episode: 414 ,229.68762,0.0153, Action type: [0, 2] 
Episode: 415 ,230.67232,0.0153, Action type: [1, 0] 
Episode: 416 ,231.65705,0.01527, Action type: [2, 0] 
Episode: 417 ,232.64178,0.01527, Action type: [2, 0] 
Episode: 418 ,233.62655,0.01523, Action type: [2, 1] 
Episode: 419 ,233.6113,0.01525, Action type: [0, 1] 
Episode: 420 ,233.59598,0.01532, Action type: [0, 2] 
Episode: 421 ,233.58065,0.01533, Action type: [1, 2] 
Episode: 422 ,234.56535,0.0153, Action type: [1, 0] 
Episode: 423 ,235.55008,0.01527, Action type: [2, 0] 
Episode: 424 ,236.53485,0.01523, Action type: [2, 1] 
Episode: 425 ,236.5196,0.01525, Action type: [0, 1] 
Episode: 426 ,236.50428,0.01532, Action type: [0, 1] 
Episode: 427 ,236.48891,0.01537, Action type: [0, 2] 
Episode: 428 ,236.47353,0.01538, Action type: [1, 0] 
Episode: 429 ,237.4582,0.01533, Action type: [1, 0] 
Episode: 430 ,238.44294,0.01526, Action type: [2, 0] 
Episode: 431 ,239.42769,0.01525, Action type: [1 0] ,
Episode: 432 ,240.41247,0.01522, Action type: [0, 1] 
Episode: 433 ,240.39722,0.01525, Action type: [0, 2] 
Episode: 434 ,240.38196,0.01526, Action type: [1, 2] 
Episode: 435 ,240.36669,0.01527, Action type: [1, 0] 
Episode: 436 ,241.35148,0.01521, Action type: [2, 0] 
Episode: 437 ,242.33631,0.01517, Action type: [2, 1] 
Episode: 438 ,242.32109,0.01522, Action type: [0, 1] 
Episode: 439 ,242.30584,0.01525, Action type: [0, 2] 
Episode: 440 ,242.29058,0.01526, Action type: [1, 2] 
Episode: 441 ,242.27531,0.01527, Action type: [1, 0] 
Episode: 442 ,243.26011,0.0152, Action type: [2, 0] 
Episode: 443 ,244.24495,0.01516, Action type: [2, 1] 
Episode: 444 ,244.22973,0.01522, Action type: [0, 2] 
Episode: 445 ,244.2145,0.01523, Action type: [0, 2] 
Episode: 446 ,244.19923,0.01527, Action type: [0, 2] 
Episode: 447 ,245.18396,0.01527, Action type: [1, 0] 
Episode: 448 ,246.16876,0.0152, Action type: [2, 0] 
Episode: 449 ,247.15356,0.0152, Action type: [2, 0] 
Episode: 450 ,248.13839,0.01517, Action type: [2, 1] 
