Episode: 74 , Rewards: 29.800500000000003 , QoS violation: 0.01718 , Action type: 4 
Episode: 75 , Rewards: 30.783340000000003 , QoS violation: 0.01716 , Action type: 5 
Episode: 76 , Rewards: 31.766180000000002 , QoS violation: 0.01716 , Action type: 4 
Episode: 77 , Rewards: 32.7491 , QoS violation: 0.01708 , Action type: 4 
Episode: 78 , Rewards: 33.73211 , QoS violation: 0.01699 , Action type: 4 
Episode: 79 , Rewards: 34.71518 , QoS violation: 0.01693 , Action type: 4 
Episode: 80 , Rewards: 35.698319999999995 , QoS violation: 0.01686 , Action type: 5 
Episode: 81 , Rewards: 36.68147999999999 , QoS violation: 0.01684 , Action type: 4 
Episode: 82 , Rewards: 37.66470999999999 , QoS violation: 0.01677 , Action type: 1 
Episode: 83 , Rewards: 37.64791999999999 , QoS violation: 0.01679 , Action type: 1 
Episode: 84 , Rewards: 38.63112999999999 , QoS violation: 0.01679 , Action type: 1 
Episode: 85 , Rewards: 38.61432999999999 , QoS violation: 0.0168 , Action type: 5 
Episode: 86 , Rewards: 39.59753999999999 , QoS violation: 0.01679 , Action type: 3 
Episode: 87 , Rewards: 39.58067999999999 , QoS violation: 0.01686 , Action type: 3 
Episode: 88 , Rewards: 39.563769999999984 , QoS violation: 0.01691 , Action type: 3 
Episode: 89 , Rewards: 39.54683999999998 , QoS violation: 0.01693 , Action type: 3 
Episode: 90 , Rewards: 39.52981999999998 , QoS violation: 0.01702 , Action type: 3 
Episode: 91 , Rewards: 39.512729999999976 , QoS violation: 0.01709 , Action type: 5 
Episode: 92 , Rewards: 40.49563999999997 , QoS violation: 0.01709 , Action type: 5 
Episode: 93 , Rewards: 41.47854999999997 , QoS violation: 0.01709 , Action type: 5 
Episode: 94 , Rewards: 42.46146999999997 , QoS violation: 0.01708 , Action type: 5 
Episode: 95 , Rewards: 43.44438999999997 , QoS violation: 0.01708 , Action type: 5 
Episode: 96 , Rewards: 44.42731999999997 , QoS violation: 0.01707 , Action type: 5 
Episode: 97 , Rewards: 45.41025999999997 , QoS violation: 0.01706 , Action type: 0 
Episode: 98 , Rewards: 45.39317999999997 , QoS violation: 0.01708 , Action type: 5 
Episode: 99 , Rewards: 46.37611999999997 , QoS violation: 0.01706 , Action type: 5 
Episode: 100 , Rewards: 47.35907999999997 , QoS violation: 0.01704 , Action type: 1 
Episode: 101 , Rewards: 47.34201999999997 , QoS violation: 0.01706 , Action type: 4 
Episode: 102 , Rewards: 48.32497999999997 , QoS violation: 0.01704 , Action type: 4 
Episode: 103 , Rewards: 49.30801999999997 , QoS violation: 0.01696 , Action type: 4 
Episode: 104 , Rewards: 50.29114999999997 , QoS violation: 0.01687 , Action type: 4 
Episode: 105 , Rewards: 51.274339999999974 , QoS violation: 0.01681 , Action type: 4 
Episode: 106 , Rewards: 52.257599999999975 , QoS violation: 0.01674 , Action type: 4 
Episode: 107 , Rewards: 53.24092999999998 , QoS violation: 0.01667 , Action type: 4 
Episode: 108 , Rewards: 54.22431999999998 , QoS violation: 0.01661 , Action type: 1 
Episode: 109 , Rewards: 54.20768999999998 , QoS violation: 0.01663 , Action type: 1 
Episode: 110 , Rewards: 54.191049999999976 , QoS violation: 0.01664 , Action type: 1 
Episode: 111 , Rewards: 54.17439999999998 , QoS violation: 0.01665 , Action type: 1 
Episode: 112 , Rewards: 55.15774999999998 , QoS violation: 0.01665 , Action type: 1 
Episode: 113 , Rewards: 55.14108999999998 , QoS violation: 0.01666 , Action type: 1 
Episode: 114 , Rewards: 56.124429999999975 , QoS violation: 0.01666 , Action type: 1 
Episode: 115 , Rewards: 57.107769999999974 , QoS violation: 0.01666 , Action type: 1 
Episode: 116 , Rewards: 58.09110999999997 , QoS violation: 0.01666 , Action type: 1 
Episode: 117 , Rewards: 58.074439999999974 , QoS violation: 0.01667 , Action type: 1 
Episode: 118 , Rewards: 58.057739999999974 , QoS violation: 0.0167 , Action type: 1 
Episode: 119 , Rewards: 58.041019999999975 , QoS violation: 0.01672 , Action type: 1 
Episode: 120 , Rewards: 58.02428999999997 , QoS violation: 0.01673 , Action type: 1 
